fips,3rd Party Effect
39057,0.106
39059,0.0723
39061,0.0624
39063,0.1814
39065,0.1537
39067,0.0205
39069,0.184
39071,0.0967
39073,0.0588
39075,0.2232
39077,0.08
39079,0.0784
39081,0.0079
39083,0.1631
39085,0.0563
39087,0.0612
39089,0.1397
39091,0.176
39093,0.0198
39095,0.0079
39097,0.1955
39099,0.001
39101,0.0974
39103,0.1068
39105,0.0701
39107,0.2324
39109,0.1548
39111,0.002
39113,0.0419
39115,0.1108
39117,0.1822
39119,0.1027
39121,0.0646
39123,0.0439
39125,0.1648
39127,0.0668
39129,0.1442
39131,0.0246
39133,0.0155
39135,0.1106
39137,0.3003
39139,0.112
39141,0.0639
39143,0.0842
39145,0.0212
39147,0.0968
39149,0.1726
39151,0.0595
39153,0.0967
39155,0.0007
39157,0.0349
39159,0.2369
39161,0.2146
39163,0.0306
39165,0.1596
39167,0.0814
39169,0.1662
39171,0.1719
39173,0.0528
39175,0.1353
40001,0.0004
40003,0.177
40005,0.0221
40007,0.3452
40009,0.0378
40011,0.0594
40013,0
40015,0.0011
